Site ID,Sample_ID,Taxon,Order,FFG,Count,Life Stage,Comments,Body Length (mm),Dry mass (mg),Subsample,Area Sampled (m^2),Area of Subsample,Biomass (mg/m^2),Biomass (g/m^2),Dry mass regression/value source,as...,Reference,Calories per mg dry mass,as ... (Order),Calories per prey item
LO701_REF,ORSU16EH003,Brillia,Chironomidae,CG,19,Larva,,1.4,0.211412213,1,1.125,1.125,0.187921967,0.000187922,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",103.056,Chironomidae,21.78729704
LO701_REF,ORSU16EH003,Brillia,Chironomidae,CG,19,Larva,,2,0.483618182,1,1.125,1.125,0.429882828,0.000429883,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",103.056,Chironomidae,49.83975535
LO701_REF,ORSU16EH003,Brillia,Chironomidae,CG,19,Larva,,2.7,0.970235058,1,1.125,1.125,0.862431163,0.000862431,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",103.056,Chironomidae,99.98854412
LO701_REF,ORSU16EH003,Brillia,Chironomidae,CG,19,Larva,,3.8,2.143931842,1,1.125,1.125,1.905717193,0.001905717,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",103.056,Chironomidae,220.9450399
LO701_REF,ORSU16EH003,Brillia,Chironomidae,CG,19,Larva,,6.4,7.185393725,1,1.125,1.125,6.387016644,0.006387017,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",103.056,Chironomidae,740.4979358
LO703_MANIP_SUN,ORSU16EH005,Brillia,Chironomidae,CG,3,Larva,,3.6,0.29860872,1,1.125,1.125,0.265429973,0.00026543,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,4.858961093
LO703_MANIP_SUN,ORSU16EH005,Brillia,Chironomidae,CG,3,Larva,,5.7,0.86718219,1,1.125,1.125,0.770828613,0.000770829,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,14.11078859
LO703_REF,ORSU16EH006,Brillia,Chironomidae,CG,1,Larva,,1.2,0.007781439,0.63,1.125,0.7125,0.010921318,1.09213E-05,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",5.424,Chironomidae,0.042206525
MR404_REF,ORSU16EH009,Brillia,Chironomidae,CG,5,Larva,,1.9,0.112989422,1,1.125,1.125,0.100435042,0.000100435,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",27.12,Chironomidae,3.064273129
MR404_REF,ORSU16EH009,Brillia,Chironomidae,CG,5,Larva,,3.2,0.378684373,1,1.125,1.125,0.336608332,0.000336608,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",27.12,Chironomidae,10.26992019
MR404_REF,ORSU16EH009,Brillia,Chironomidae,CG,5,Larva,,3.8,0.56419259,1,1.125,1.125,0.501504524,0.000501505,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",27.12,Chironomidae,15.30090304
MR404_REF,ORSU16EH009,Brillia,Chironomidae,CG,5,Larva,,4.7,0.923839366,1,1.125,1.125,0.821190548,0.000821191,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",27.12,Chironomidae,25.05452362
LO703_REF,ORSU16EH006,Acneus,Coleoptera,SC,1,Larva,,5.1,0.844142066,0.63,1.125,0.7125,1.184760794,0.001184761,0.0077*(L^2.883),Psephenus sp.,"Benke, A. C. et al. 1999",4.823,Insecta aquatic,4.071297184
MR404_MANIP_SHADE,ORSU16EH007,Ampumixis dispar,Coleoptera,CG,8,Larva,,2,1.176,1,1.125,1.125,1.045333333,0.001045333,mean value,Elmis spp. larvae,"Meyer, E. 1989",38.584,Insecta aquatic,45.374784
MR404_REF,ORSU16EH009,Ampumixis dispar,Coleoptera,CG,19,Larva,,2,2.793,1,1.125,1.125,2.482666667,0.002482667,mean value,Elmis spp. larvae,"Meyer, E. 1989",91.637,Insecta aquatic,255.942141
MR404_REF,ORSU16EH009,Ampumixis dispar,Coleoptera,CG,19,Larva,,3,2.793,1,1.125,1.125,2.482666667,0.002482667,mean value,Elmis spp. larvae,"Meyer, E. 1989",91.637,Insecta aquatic,255.942141
MR404_REF,ORSU16EH009,Ampumixis dispar,Coleoptera,CG,19,Larva,,4,2.793,1,1.125,1.125,2.482666667,0.002482667,mean value,Elmis spp. larvae,"Meyer, E. 1989",91.637,Insecta aquatic,255.942141
LO701_MANIP_SUN,ORSU16EH002,Elmidae,Coleoptera,SC,8,Adult,,2.5,3.2008,1,1.125,1.125,2.845155556,0.002845156,mean value,Elmis spp. adults,"Meyer, E. 1989",38.584,Insecta aquatic,123.4996672
LO701_MANIP_SUN,ORSU16EH002,Elmidae,Coleoptera,SC,1,Larva,,1.4,0.147,1,1.125,1.125,0.130666667,0.000130667,mean value,Elmis spp. larvae,"Meyer, E. 1989",4.823,Insecta aquatic,0.708981
LO701_REF,ORSU16EH003,Elmidae,Coleoptera,SC,1,Adult,,2.5,0.4001,1,1.125,1.125,0.355644444,0.000355644,mean value,Elmis spp. adults,"Meyer, E. 1989",4.823,Insecta aquatic,1.9296823
LO703_MANIP_SUN,ORSU16EH005,Elmidae,Coleoptera,SC,1,Adult,,3,0.4001,1,1.125,1.125,0.355644444,0.000355644,mean value,Elmis spp. adults,"Meyer, E. 1989",4.823,Insecta aquatic,1.9296823
LO701_MANIP_SHADE,ORSU16EH001,Heterlimnius corpulentus,Coleoptera,CG,1,Adult,,2.4,0.4001,1,1.125,1.125,0.355644444,0.000355644,mean value,Elmis spp. adults,"Meyer, E. 1989",4.823,Insecta aquatic,1.9296823
LO701_MANIP_SHADE,ORSU16EH001,Heterlimnius corpulentus,Coleoptera,CG,2,Larva,,3.3,0.294,1,1.125,1.125,0.261333333,0.000261333,mean value,Elmis spp. larvae,"Meyer, E. 1989",9.646,Insecta aquatic,2.835924
LO701_MANIP_SHADE,ORSU16EH001,Heterlimnius corpulentus,Coleoptera,CG,2,Larva,,3.7,0.294,1,1.125,1.125,0.261333333,0.000261333,mean value,Elmis spp. larvae,"Meyer, E. 1989",9.646,Insecta aquatic,2.835924
LO701_MANIP_SUN,ORSU16EH002,Heterlimnius corpulentus,Coleoptera,CG,1,Adult,,2.5,0.4001,1,1.125,1.125,0.355644444,0.000355644,mean value,Elmis spp. adults,"Meyer, E. 1989",4.823,Insecta aquatic,1.9296823
LO701_MANIP_SUN,ORSU16EH002,Heterlimnius corpulentus,Coleoptera,CG,1,Larva,,3.8,0.147,1,1.125,1.125,0.130666667,0.000130667,mean value,Elmis spp. larvae,"Meyer, E. 1989",4.823,Insecta aquatic,0.708981
LO701_REF,ORSU16EH003,Heterlimnius corpulentus,Coleoptera,CG,2,Larva,,3.8,0.294,1,1.125,1.125,0.261333333,0.000261333,mean value,Elmis spp. larvae,"Meyer, E. 1989",9.646,Insecta aquatic,2.835924
LO701_REF,ORSU16EH003,Heterlimnius corpulentus,Coleoptera,CG,2,Larva,,4.7,0.294,1,1.125,1.125,0.261333333,0.000261333,mean value,Elmis spp. larvae,"Meyer, E. 1989",9.646,Insecta aquatic,2.835924
LO703_MANIP_SHADE,ORSU16EH004,Heterlimnius corpulentus,Coleoptera,CG,1,Larva,,3.9,0.147,1,1.125,1.125,0.130666667,0.000130667,mean value,Elmis spp. larvae,"Meyer, E. 1989",4.823,Insecta aquatic,0.708981
LO703_REF,ORSU16EH006,Heterlimnius corpulentus,Coleoptera,CG,1,Adult,,3,0.4001,0.63,1.125,0.7125,0.56154386,0.000561544,mean value,Elmis spp. adults,"Meyer, E. 1989",4.823,Insecta aquatic,1.9296823
LO703_REF,ORSU16EH006,Heterlimnius corpulentus,Coleoptera,CG,2,Larva,,1.9,0.294,0.63,1.125,0.7125,0.412631579,0.000412632,mean value,Elmis spp. larvae,"Meyer, E. 1989",9.646,Insecta aquatic,2.835924
LO703_REF,ORSU16EH006,Heterlimnius corpulentus,Coleoptera,CG,2,Larva,,5.6,0.294,0.63,1.125,0.7125,0.412631579,0.000412632,mean value,Elmis spp. larvae,"Meyer, E. 1989",9.646,Insecta aquatic,2.835924
MR404_MANIP_SHADE,ORSU16EH007,Heterlimnius corpulentus,Coleoptera,CG,8,Larva,,2,1.176,1,1.125,1.125,1.045333333,0.001045333,mean value,Elmis spp. larvae,"Meyer, E. 1989",38.584,Insecta aquatic,45.374784
MR404_MANIP_SHADE,ORSU16EH007,Heterlimnius corpulentus,Coleoptera,CG,8,Larva,,3,1.176,1,1.125,1.125,1.045333333,0.001045333,mean value,Elmis spp. larvae,"Meyer, E. 1989",38.584,Insecta aquatic,45.374784
MR404_MANIP_SUN,ORSU16EH008,Heterlimnius corpulentus,Coleoptera,CG,2,Adult,,2.3,0.8002,1,1.125,1.125,0.711288889,0.000711289,mean value,Elmis spp. adults,"Meyer, E. 1989",9.646,Insecta aquatic,7.7187292
MR404_MANIP_SUN,ORSU16EH008,Heterlimnius corpulentus,Coleoptera,CG,17,Larva,,3.5,2.499,1,1.125,1.125,2.221333333,0.002221333,mean value,Elmis spp. larvae,"Meyer, E. 1989",81.991,Insecta aquatic,204.895509
MR404_REF,ORSU16EH009,Heterlimnius corpulentus,Coleoptera,CG,1,Adult,,2.3,0.4001,1,1.125,1.125,0.355644444,0.000355644,mean value,Elmis spp. adults,"Meyer, E. 1989",4.823,Insecta aquatic,1.9296823
MR404_REF,ORSU16EH009,Heterlimnius corpulentus,Coleoptera,CG,35,Larva,,2,5.145,1,1.125,1.125,4.573333333,0.004573333,mean value,Elmis spp. larvae,"Meyer, E. 1989",168.805,Insecta aquatic,868.501725
MR404_REF,ORSU16EH009,Heterlimnius corpulentus,Coleoptera,CG,35,Larva,,4,5.145,1,1.125,1.125,4.573333333,0.004573333,mean value,Elmis spp. larvae,"Meyer, E. 1989",168.805,Insecta aquatic,868.501725
MR404_REF,ORSU16EH009,Hydraena,Coleoptera,P,1,Adult,,1.7,0.042324902,1,1.125,1.125,0.037622135,3.76221E-05,(-5.46)+4.33*lnL,Coleoptera (adults),"Burgherr, P. and E. Meyer 1997",5.556,Coleoptera terrestrial,0.235157154
LO703_MANIP_SHADE,ORSU16EH004,Optioservus,Coleoptera,SC,1,Adult,,2.5,0.4001,1,1.125,1.125,0.355644444,0.000355644,mean value,Elmis spp. adults,"Meyer, E. 1989",4.823,Insecta aquatic,1.9296823
MR404_REF,ORSU16EH009,Optioservus,Coleoptera,SC,1,Adult,,2.3,0.4001,1,1.125,1.125,0.355644444,0.000355644,mean value,Elmis spp. adults,"Meyer, E. 1989",4.823,Insecta aquatic,1.9296823
MR404_REF,ORSU16EH009,Zaitzevia,Coleoptera,SC,2,Larva,,2.5,0.294,1,1.125,1.125,0.261333333,0.000261333,mean value,Elmis spp. larvae,"Meyer, E. 1989",9.646,Insecta aquatic,2.835924
LO701_MANIP_SHADE,ORSU16EH001,Ostracoda,Crustacea,,2,Unknown,,1.1,0.11428,1,1.125,1.125,0.101582222,0.000101582,mean of measured dry weight of pooled specimens,Ostracoda,"Rhithron Associates, Inc",9.02,Crustacea,1.0308056
LO701_REF,ORSU16EH003,Ostracoda,Crustacea,,1,Unknown,,0.6,0.05714,1,1.125,1.125,0.050791111,5.07911E-05,mean of measured dry weight of pooled specimens,Ostracoda,"Rhithron Associates, Inc",4.51,Crustacea,0.2577014
LO703_MANIP_SHADE,ORSU16EH004,Ostracoda,Crustacea,,3,Unknown,,1,0.17142,1,1.125,1.125,0.152373333,0.000152373,mean of measured dry weight of pooled specimens,Ostracoda,"Rhithron Associates, Inc",13.53,Crustacea,2.3193126
LO703_MANIP_SUN,ORSU16EH005,Copepoda,Diaptomidae,,1,Unknown,,1.1,1.03E-07,1,1.125,1.125,9.17182E-08,9.17182E-11,0.00000008*(L^2.67),Cyclopoida adult,Dumont et al. 1975,5.741,Diaptomidae,5.92E-07
LO701_MANIP_SUN,ORSU16EH002,Antocha monticola,Diptera,CG,1,Larva,,8,0.956110574,1,1.125,1.125,0.849876066,0.000849876,(0.0042*L^2.596)*1.03,Hexatoma spp.,"Benke, A. C. et al. 1999",4.276,Diptera aquatic,4.088328815
MR404_REF,ORSU16EH009,Antocha monticola,Diptera,CG,2,Larva,,3,0.149872961,1,1.125,1.125,0.13322041,0.00013322,(0.0042*L^2.596)*1.03,Hexatoma spp.,"Benke, A. C. et al. 1999",8.552,Diptera aquatic,1.281713564
MR404_REF,ORSU16EH009,Antocha monticola,Diptera,CG,2,Larva,,4,0.316274551,1,1.125,1.125,0.281132934,0.000281133,(0.0042*L^2.596)*1.03,Hexatoma spp.,"Benke, A. C. et al. 1999",8.552,Diptera aquatic,2.704779963
LO701_MANIP_SHADE,ORSU16EH001,Brillia,Diptera,CG,3,Larva,,1.2,0.023344317,1,1.125,1.125,0.020750504,2.07505E-05,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,0.379858728
LO701_MANIP_SHADE,ORSU16EH001,Brillia,Diptera,CG,3,Larva,,3.4,0.261524133,1,1.125,1.125,0.232465896,0.000232466,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,4.255520699
LO701_MANIP_SHADE,ORSU16EH001,Brillia,Diptera,CG,3,Larva,,4.1,0.40377482,1,1.125,1.125,0.358910951,0.000358911,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,6.570223866
MR404_MANIP_SHADE,ORSU16EH007,Brillia,Diptera,CG,1,Larva,,2.4,0.038855232,1,1.125,1.125,0.034537984,0.000034538,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",5.424,Chironomidae,0.21075078
LO701_MANIP_SHADE,ORSU16EH001,Ceratopogoninae,Diptera,P,2,Larva,,5.7,0.422680518,1,1.125,1.125,0.375716016,0.000375716,(-5.714)+2.39*lnL,Palpomyia spp. complex,"Smock, L.A. 1980",9.646,Insecta aquatic,4.077176274
LO701_REF,ORSU16EH003,Ceratopogoninae,Diptera,P,2,Larva,,5.3,0.355214474,1,1.125,1.125,0.315746199,0.000315746,(-5.714)+2.39*lnL,Palpomyia spp. complex,"Smock, L.A. 1980",9.646,Insecta aquatic,3.426398818
LO703_MANIP_SHADE,ORSU16EH004,Ceratopogoninae,Diptera,P,1,Larva,,6,0.238903668,1,1.125,1.125,0.212358816,0.000212359,(-5.714)+2.39*lnL,Palpomyia spp. complex,"Smock, L.A. 1980",4.823,Insecta aquatic,1.152232393
LO703_MANIP_SUN,ORSU16EH005,Ceratopogoninae,Diptera,P,5,Larva,,4.2,0.50930406,1,1.125,1.125,0.45271472,0.000452715,(-5.714)+2.39*lnL,Palpomyia spp. complex,"Smock, L.A. 1980",24.115,Insecta aquatic,12.28186741
LO703_MANIP_SUN,ORSU16EH005,Ceratopogoninae,Diptera,P,5,Larva,,6.5,1.446352854,1,1.125,1.125,1.285646981,0.001285647,(-5.714)+2.39*lnL,Palpomyia spp. complex,"Smock, L.A. 1980",24.115,Insecta aquatic,34.87879907
MR404_MANIP_SHADE,ORSU16EH007,Ceratopogoninae,Diptera,P,2,Larva,,5,0.3090364,1,1.125,1.125,0.274699022,0.000274699,(-5.714)+2.39*lnL,Palpomyia spp. complex,"Smock, L.A. 1980",9.646,Insecta aquatic,2.980965114
MR404_MANIP_SHADE,ORSU16EH007,Ceratopogoninae,Diptera,P,2,Larva,,7,0.690646224,1,1.125,1.125,0.613907755,0.000613908,(-5.714)+2.39*lnL,Palpomyia spp. complex,"Smock, L.A. 1980",9.646,Insecta aquatic,6.661973472
MR404_REF,ORSU16EH009,Ceratopogoninae,Diptera,P,1,Larva,,4,0.090649353,1,1.125,1.125,0.080577203,8.05772E-05,(-5.714)+2.39*lnL,Palpomyia spp. complex,"Smock, L.A. 1980",4.823,Insecta aquatic,0.43720183
MR404_REF,ORSU16EH009,Chironomini,Diptera,CF,1,Larva,,1.4,0.001890027,1,1.125,1.125,0.001680024,1.68002E-06,0.0007*L^2.952,Chironomini,"Benke, A. C. et al. 1999",5.424,Chironomini,0.010251506
MR404_MANIP_SUN,ORSU16EH008,Clinocera,Diptera,P,1,Larva,,3,0.095111367,1,1.125,1.125,0.084543437,8.45434E-05,(-5.3506)+2.7288*lnL,Empididae,"Meyer, E. 1989",4.276,Diptera aquatic,0.406696206
LO701_REF,ORSU16EH003,Corynoneura,Diptera,CG,1,Larva,,1.4,0.011126959,1,1.125,1.125,0.00989063,9.89063E-06,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",5.424,Chironomidae,0.060352623
LO703_MANIP_SUN,ORSU16EH005,Cricotopus,Diptera,CG,1,Pupa,,2.6,0.044172433,1,1.125,1.125,0.039264385,3.92644E-05,(-5.26)+2.24*lnL,Diptera (pupae),"Burgherr, P. and E. Meyer 1997",4.823,Insecta aquatic,0.213043646
LO703_REF,ORSU16EH006,Cricotopus,Diptera,CG,1,Pupa,,3.9,0.109545803,0.63,1.125,0.7125,0.153748495,0.000153748,(-5.26)+2.24*lnL,Diptera (pupae),"Burgherr, P. and E. Meyer 1997",4.823,Insecta aquatic,0.528339409
MR404_REF,ORSU16EH009,Cricotopus,Diptera,CG,1,Pupa,,2.5,0.040457277,1,1.125,1.125,0.035962024,0.000035962,(-5.26)+2.24*lnL,Diptera (pupae),"Burgherr, P. and E. Meyer 1997",4.823,Insecta aquatic,0.195125445
LO703_REF,ORSU16EH006,Cricotopus (Cricotopus),Diptera,CG,2,Larva,,4.6,0.351550399,0.63,1.125,0.7125,0.493404069,0.000493404,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",10.848,Chironomidae,3.813618725
MR404_MANIP_SUN,ORSU16EH008,Cricotopus (Cricotopus),Diptera,CG,1,Larva,,3.8,0.112838518,1,1.125,1.125,0.100300905,0.000100301,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",5.424,Chironomidae,0.612036122
MR404_REF,ORSU16EH009,Cricotopus (Cricotopus),Diptera,CG,3,Larva,,3.2,0.227210624,1,1.125,1.125,0.201964999,0.000201965,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,3.697171269
MR404_REF,ORSU16EH009,Cricotopus (Cricotopus),Diptera,CG,3,Larva,,4.2,0.426991311,1,1.125,1.125,0.379547832,0.000379548,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,6.948002621
MR404_MANIP_SHADE,ORSU16EH007,Cricotopus (Nostococladius),Diptera,CG,3,Larva,,0.9,0.011976318,1,1.125,1.125,0.010645616,1.06456E-05,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,0.19487864
MR404_MANIP_SHADE,ORSU16EH007,Cricotopus (Nostococladius),Diptera,CG,3,Larva,,2.6,0.140352079,1,1.125,1.125,0.124757404,0.000124757,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",16.272,Chironomidae,2.283809036
MR404_MANIP_SUN,ORSU16EH008,Cricotopus (Nostococladius),Diptera,CG,50,Larva,,0.9,0.199605294,1,1.125,1.125,0.177426928,0.000177427,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",271.2,Chironomidae,54.13295565
MR404_MANIP_SUN,ORSU16EH008,Cricotopus (Nostococladius),Diptera,CG,50,Larva,,2.2,1.587632765,1,1.125,1.125,1.411229124,0.001411229,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",271.2,Chironomidae,430.5660058
MR404_MANIP_SUN,ORSU16EH008,Cricotopus (Nostococladius),Diptera,CG,50,Larva,,2.5,2.135749207,1,1.125,1.125,1.89844374,0.001898444,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",271.2,Chironomidae,579.2151848
MR404_MANIP_SUN,ORSU16EH008,Cricotopus (Nostococladius),Diptera,CG,50,Larva,,3.3,4.067071189,1,1.125,1.125,3.61517439,0.003615174,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",271.2,Chironomidae,1102.989706
MR404_MANIP_SUN,ORSU16EH008,Cricotopus (Nostococladius),Diptera,CG,50,Larva,,4.7,9.238393664,1,1.125,1.125,8.211905479,0.008211905,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",271.2,Chironomidae,2505.452362
MR404_REF,ORSU16EH009,Cricotopus (Nostococladius),Diptera,CG,78,Larva,,0.9,0.311384258,1,1.125,1.125,0.276786007,0.000276786,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",423.072,Chironomidae,131.7379609
MR404_REF,ORSU16EH009,Cricotopus (Nostococladius),Diptera,CG,78,Larva,,1.3,0.730806849,1,1.125,1.125,0.649606088,0.000649606,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",423.072,Chironomidae,309.1839153
MR404_REF,ORSU16EH009,Cricotopus (Nostococladius),Diptera,CG,78,Larva,,1.6,1.183075311,1,1.125,1.125,1.051622499,0.001051622,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",423.072,Chironomidae,500.5260381
MR404_REF,ORSU16EH009,Cricotopus (Nostococladius),Diptera,CG,78,Larva,,1.9,1.762634986,1,1.125,1.125,1.566786654,0.001566787,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",423.072,Chironomidae,745.7215087
MR404_REF,ORSU16EH009,Cricotopus (Nostococladius),Diptera,CG,78,Larva,,4.6,13.71046555,1,1.125,1.125,12.18708049,0.01218708,(-5.279)+2.32*lnL,Chironominae/Orthocladiinae,"Smock, L.A. 1980",423.072,Chironomidae,5800.51408
LO703_MANIP_SHADE,ORSU16EH004,Diamesa,Diptera,CG,1,Larva,,8.6,1,1,1.125,1.125,0.888888889,0.000888889,mean value,Diamesa spp.,"Meyer, E. 1989",5.424,Chironomidae,5.424
LO703_REF,ORSU16EH006,Diamesa,Diptera,CG,1,Larva,,9.3,1,0.63,1.125,0.7125,1.403508772,0.001403509,mean value,Diamesa spp.,"Meyer, E. 1989",5.424,Chironomidae,5.424
