Taxon,CollDate,Stream,Treatment,Density,Size,FFG,Family
Ampumixis,2017,CHUCK,Y,0,S,SCe,Elmidae
Ampumixis,2017,LOON,N,0,S,SCe,Elmidae
Ampumixis,2018,LOON,N,12.345679012345679,S,SCe,Elmidae
Ampumixis,2018,W-113,N,66.66666669333333,S,SCe,Elmidae
Ampumixis,2018,W-113,Y,88.88888889244446,S,SCe,Elmidae
Ampumixis,2018,CHUCK,Y,0,S,SCe,Elmidae
Ampumixis,2018,CHUCK,N,0,S,SCe,Elmidae
Antocha,2018,CHUCK,N,0,S,CG,Tipulidae
Antocha,2018,MCTE,N,0,S,CG,Tipulidae
Antocha,2018,CHUCK,Y,0,S,CG,Tipulidae
Antocha,2018,LOON,Y,0,S,CG,Tipulidae
Antocha,2018,W-113,N,0,S,CG,Tipulidae
Antocha,2018,W-113,Y,0,S,CG,Tipulidae
Antocha,2018,LOON,N,0,S,CG,Tipulidae
Antocha,2018,W-100,Y,0,S,CG,Tipulidae
Antocha,2017,W-100,Y,3.7037037037037037,S,CG,Tipulidae
Antocha,2017,W-113,N,0,S,CG,Tipulidae
Antocha,2017,W-113,Y,0,S,CG,Tipulidae
Antocha,2018,W-100,N,0,S,CG,Tipulidae
Antocha,2017,CHUCK,N,0,S,CG,Tipulidae
Antocha,2017,CHUCK,Y,0,S,CG,Tipulidae
Antocha,2018,MCTE,Y,0,S,CG,Tipulidae
Antocha,2017,LOON,Y,0,S,CG,Tipulidae
Antocha,2017,MCTE,N,0,S,CG,Tipulidae
Antocha,2017,MCTE,Y,3.7037037037037037,S,CG,Tipulidae
Antocha,2017,LOON,N,0,S,CG,Tipulidae
Antocha,2017,W-100,N,0,S,CG,Tipulidae
Aquarius,2017,MCTE,Y,0,S,P,Gerridae
Aquarius,2017,W-100,N,0,S,P,Gerridae
Aquarius,2017,W-100,Y,0,S,P,Gerridae
Aquarius,2017,MCTE,N,0,S,P,Gerridae
Aquarius,2018,W-100,N,0,S,P,Gerridae
Aquarius,2018,W-100,Y,0,S,P,Gerridae
Aquarius,2018,W-113,N,0,S,P,Gerridae
Aquarius,2018,W-113,Y,0,S,P,Gerridae
Aquarius,2017,W-113,N,0,S,P,Gerridae
Aquarius,2017,W-113,Y,0,S,P,Gerridae
Aquarius,2018,CHUCK,N,0,S,P,Gerridae
Aquarius,2018,CHUCK,Y,0,S,P,Gerridae
Aquarius,2017,CHUCK,N,0,S,P,Gerridae
Aquarius,2017,CHUCK,Y,0,S,P,Gerridae
Aquarius,2017,LOON,N,0,S,P,Gerridae
Aquarius,2017,LOON,Y,0,S,P,Gerridae
Aquarius,2018,MCTE,Y,0,S,P,Gerridae
Aquarius,2018,LOON,N,12.345679012345679,S,P,Gerridae
Aquarius,2018,LOON,Y,0,S,P,Gerridae
Aquarius,2018,MCTE,N,0,S,P,Gerridae
Atheryx,2018,CHUCK,Y,0,S,P,Athericidae
Atheryx,2018,MCTE,Y,0,S,P,Athericidae
Atheryx,2018,LOON,N,0,S,P,Athericidae
Atheryx,2018,LOON,Y,0,S,P,Athericidae
Atheryx,2018,MCTE,N,0,S,P,Athericidae
Atheryx,2018,W-113,Y,0,S,P,Athericidae
Atheryx,2018,W-100,N,0,S,P,Athericidae
Atheryx,2018,W-100,Y,0,S,P,Athericidae
Atheryx,2018,W-113,N,0,S,P,Athericidae
Atheryx,2017,W-113,Y,0,S,P,Athericidae
Atheryx,2018,CHUCK,N,0,S,P,Athericidae
Atheryx,2017,CHUCK,Y,0,S,P,Athericidae
Atheryx,2017,LOON,N,0,S,P,Athericidae
Atheryx,2017,LOON,Y,0,S,P,Athericidae
Atheryx,2017,CHUCK,N,7.407407407407407,S,P,Athericidae
Atheryx,2017,MCTE,Y,0,S,P,Athericidae
Atheryx,2017,W-100,N,0,S,P,Athericidae
Atheryx,2017,W-100,Y,0,S,P,Athericidae
Atheryx,2017,MCTE,N,0,S,P,Athericidae
Atheryx,2017,W-113,N,0,S,P,Athericidae
Atrichopogon,2017,MCTE,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2017,W-100,N,0,S,CG,Ceratapogonidae
Atrichopogon,2017,W-100,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2017,MCTE,N,0,S,CG,Ceratapogonidae
Atrichopogon,2018,W-100,N,0,S,CG,Ceratapogonidae
Atrichopogon,2018,W-100,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2018,W-113,N,0,S,CG,Ceratapogonidae
Atrichopogon,2018,W-113,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2017,W-113,N,0,S,CG,Ceratapogonidae
Atrichopogon,2017,W-113,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2018,CHUCK,N,24.691358024691358,S,CG,Ceratapogonidae
Atrichopogon,2018,CHUCK,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2017,CHUCK,N,0,S,CG,Ceratapogonidae
Atrichopogon,2017,CHUCK,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2017,LOON,N,0,S,CG,Ceratapogonidae
Atrichopogon,2017,LOON,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2018,MCTE,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2018,LOON,N,0,S,CG,Ceratapogonidae
Atrichopogon,2018,LOON,Y,0,S,CG,Ceratapogonidae
Atrichopogon,2018,MCTE,N,0,S,CG,Ceratapogonidae
Baetis,2018,CHUCK,Y,377.7777778282826,S,CG,Baetidae
Baetis,2018,MCTE,Y,481.4814814814815,S,CG,Baetidae
Baetis,2018,LOON,N,49.382716049382715,S,CG,Baetidae
Baetis,2018,LOON,Y,37.03703703703704,S,CG,Baetidae
Baetis,2018,MCTE,N,257.67195771223646,S,CG,Baetidae
Baetis,2018,W-113,Y,666.6666666933334,S,CG,Baetidae
Baetis,2018,W-100,N,277.77777777777777,S,CG,Baetidae
Baetis,2018,W-100,Y,222.22222223111112,S,CG,Baetidae
Baetis,2018,W-113,N,244.4444445422222,S,CG,Baetidae
Baetis,2017,W-113,Y,159.25925925925927,S,CG,Baetidae
Baetis,2018,CHUCK,N,271.6049382716049,S,CG,Baetidae
Baetis,2017,CHUCK,Y,381.48148148148147,S,CG,Baetidae
Baetis,2017,LOON,N,59.25925925925926,S,CG,Baetidae
Baetis,2017,LOON,Y,74.07407407407408,S,CG,Baetidae
Baetis,2017,CHUCK,N,159.25925925925927,S,CG,Baetidae
Baetis,2017,MCTE,Y,129.62962962962962,S,CG,Baetidae
Baetis,2017,W-100,N,429.6296296296296,S,CG,Baetidae
Baetis,2017,W-100,Y,396.2962962962963,S,CG,Baetidae
Baetis,2017,MCTE,N,174.07407407407405,S,CG,Baetidae
Baetis,2017,W-113,N,259.25925925925924,S,CG,Baetidae
Brachycentrus,2017,MCTE,Y,3.7037037037037037,L,CF,Brachycentridae
Brachycentrus,2017,W-100,N,0,L,CF,Brachycentridae
Brachycentrus,2017,W-100,Y,3.7037037037037037,L,CF,Brachycentridae
Brachycentrus,2017,MCTE,N,0,L,CF,Brachycentridae
Brachycentrus,2018,LOON,Y,0,L,CF,Brachycentridae
Brachycentrus,2018,MCTE,N,0,L,CF,Brachycentridae
Brachycentrus,2018,MCTE,Y,444.4444444444445,L,CF,Brachycentridae
Brachycentrus,2018,W-100,N,0,L,CF,Brachycentridae
Brachycentrus,2018,W-100,Y,0,L,CF,Brachycentridae
Brachycentrus,2018,W-113,N,66.66666669333333,L,CF,Brachycentridae
Brachycentrus,2017,W-113,N,3.7037037037037037,L,CF,Brachycentridae
Brachycentrus,2017,W-113,Y,0,L,CF,Brachycentridae
Brachycentrus,2017,CHUCK,N,3.7037037037037037,L,CF,Brachycentridae
Brachycentrus,2017,CHUCK,Y,0,L,CF,Brachycentridae
Brachycentrus,2017,LOON,N,0,L,CF,Brachycentridae
Brachycentrus,2017,LOON,Y,3.7037037037037037,L,CF,Brachycentridae
Brachycentrus,2018,LOON,N,24.691358024691358,L,CF,Brachycentridae
Brachycentrus,2018,W-113,Y,0,L,CF,Brachycentridae
Brachycentrus,2018,CHUCK,Y,0,L,CF,Brachycentridae
Brachycentrus,2018,CHUCK,N,0,L,CF,Brachycentridae
Calineuria,2018,CHUCK,Y,222.22222225406264,L,P,Perlidae
Calineuria,2018,LOON,N,98.76543209876543,L,P,Perlidae
Calineuria,2018,MCTE,Y,378.60082304526753,L,P,Perlidae
Calineuria,2018,W-100,N,222.22222222222226,L,P,Perlidae
Calineuria,2018,MCTE,N,63.49206350638747,L,P,Perlidae
Calineuria,2018,W-113,Y,320.000000012448,L,P,Perlidae
Calineuria,2017,LOON,N,25.925925925925924,L,P,Perlidae
Calineuria,2018,LOON,Y,135.80246913580245,L,P,Perlidae
Calineuria,2018,W-113,N,377.77777792888884,L,P,Perlidae
Calineuria,2017,W-113,N,66.66666666666667,L,P,Perlidae
Calineuria,2017,W-113,Y,14.814814814814815,L,P,Perlidae
Calineuria,2018,CHUCK,N,209.87654320987656,L,P,Perlidae
Calineuria,2018,W-100,Y,266.66666667733335,L,P,Perlidae
Calineuria,2017,CHUCK,N,40.74074074074074,L,P,Perlidae
Calineuria,2017,CHUCK,Y,92.5925925925926,L,P,Perlidae
Calineuria,2017,W-100,N,103.7037037037037,L,P,Perlidae
Calineuria,2017,LOON,Y,70.37037037037037,L,P,Perlidae
Calineuria,2017,MCTE,N,25.925925925925924,L,P,Perlidae
Calineuria,2017,MCTE,Y,18.51851851851852,L,P,Perlidae
Calineuria,2017,W-100,Y,96.29629629629629,L,P,Perlidae
Caudatella,2017,W-113,Y,0,S,CG,Ephemerellidae
Caudatella,2017,W-100,Y,0,S,CG,Ephemerellidae
Caudatella,2017,W-113,N,0,S,CG,Ephemerellidae
Caudatella,2017,CHUCK,N,0,S,CG,Ephemerellidae
Caudatella,2017,W-100,N,0,S,CG,Ephemerellidae
Caudatella,2018,W-100,Y,0,S,CG,Ephemerellidae
Caudatella,2018,W-113,N,0,S,CG,Ephemerellidae
Caudatella,2018,W-113,Y,0,S,CG,Ephemerellidae
Caudatella,2018,LOON,N,0,S,CG,Ephemerellidae
Caudatella,2017,CHUCK,Y,0,S,CG,Ephemerellidae
Caudatella,2018,CHUCK,N,0,S,CG,Ephemerellidae
Caudatella,2018,CHUCK,Y,0,S,CG,Ephemerellidae
Caudatella,2017,MCTE,N,0,S,CG,Ephemerellidae
Caudatella,2017,MCTE,Y,7.407407407407407,S,CG,Ephemerellidae
Caudatella,2017,LOON,N,0,S,CG,Ephemerellidae
Caudatella,2017,LOON,Y,0,S,CG,Ephemerellidae
Caudatella,2018,MCTE,N,0,S,CG,Ephemerellidae
Caudatella,2018,MCTE,Y,0,S,CG,Ephemerellidae
Caudatella,2018,W-100,N,0,S,CG,Ephemerellidae
Caudatella,2018,LOON,Y,0,S,CG,Ephemerellidae
Ceratapogonidae,2018,MCTE,Y,185.1851851851852,S,P,Ceratapogonidae
Ceratapogonidae,2018,W-100,N,18.51851851851852,S,P,Ceratapogonidae
Ceratapogonidae,2018,LOON,N,49.382716049382715,S,P,Ceratapogonidae
Ceratapogonidae,2018,LOON,Y,12.345679012345679,S,P,Ceratapogonidae
Ceratapogonidae,2018,MCTE,N,47.61904762798334,S,P,Ceratapogonidae
Ceratapogonidae,2017,CHUCK,N,3.7037037037037037,S,P,Ceratapogonidae
Ceratapogonidae,2017,CHUCK,Y,7.407407407407407,S,P,Ceratapogonidae
Ceratapogonidae,2018,W-100,Y,22.222222223111114,S,P,Ceratapogonidae
Ceratapogonidae,2018,W-113,N,88.88888892444443,S,P,Ceratapogonidae
Ceratapogonidae,2018,W-113,Y,44.44444444622223,S,P,Ceratapogonidae
Ceratapogonidae,2017,MCTE,Y,3.7037037037037037,S,P,Ceratapogonidae
Ceratapogonidae,2018,CHUCK,Y,11.111111111912189,S,P,Ceratapogonidae
Ceratapogonidae,2017,LOON,N,0,S,P,Ceratapogonidae
Ceratapogonidae,2017,LOON,Y,11.111111111111109,S,P,Ceratapogonidae
Ceratapogonidae,2017,MCTE,N,0,S,P,Ceratapogonidae
Ceratapogonidae,2017,W-113,Y,3.7037037037037037,S,P,Ceratapogonidae
Ceratapogonidae,2017,W-100,N,0,S,P,Ceratapogonidae
Ceratapogonidae,2017,W-100,Y,22.222222222222218,S,P,Ceratapogonidae
Ceratapogonidae,2017,W-113,N,0,S,P,Ceratapogonidae
Ceratapogonidae,2018,CHUCK,N,37.03703703703704,S,P,Ceratapogonidae
Chironomidae,2017,W-113,Y,37.03703703703704,S,CG,Chironomidae
Chironomidae,2017,W-100,Y,992.5925925925926,S,CG,Chironomidae
Chironomidae,2017,W-113,N,18.51851851851852,S,CG,Chironomidae
Chironomidae,2017,CHUCK,N,48.148148148148145,S,CG,Chironomidae
Chironomidae,2017,W-100,N,277.77777777777777,S,CG,Chironomidae
Chironomidae,2018,W-100,Y,3066.6666667893337,S,CG,Chironomidae
Chironomidae,2018,W-113,N,3111.111112355555,S,CG,Chironomidae
Chironomidae,2018,W-113,Y,2088.8888889724444,S,CG,Chironomidae
Chironomidae,2018,LOON,N,1049.3827160493827,S,CG,Chironomidae
Chironomidae,2017,CHUCK,Y,88.88888888888887,S,CG,Chironomidae
Chironomidae,2018,CHUCK,N,617.283950617284,S,CG,Chironomidae
Chironomidae,2018,CHUCK,Y,266.66666670934075,S,CG,Chironomidae
Chironomidae,2017,MCTE,N,88.88888888888887,S,CG,Chironomidae
Chironomidae,2017,MCTE,Y,159.25925925925927,S,CG,Chironomidae
Chironomidae,2017,LOON,N,18.51851851851852,S,CG,Chironomidae
Chironomidae,2017,LOON,Y,133.33333333333334,S,CG,Chironomidae
Chironomidae,2018,MCTE,N,1015.873016103817,S,CG,Chironomidae
Chironomidae,2018,MCTE,Y,2666.6666666666665,S,CG,Chironomidae
Chironomidae,2018,W-100,N,2037.0370370370372,S,CG,Chironomidae
Chironomidae,2018,LOON,Y,1567.9012345679012,S,CG,Chironomidae
Chloroperlidae,2018,MCTE,Y,0,L,P,Chloroperlidae
Chloroperlidae,2018,W-100,N,0,L,P,Chloroperlidae
Chloroperlidae,2018,LOON,N,0,L,P,Chloroperlidae
Chloroperlidae,2018,LOON,Y,0,L,P,Chloroperlidae
Chloroperlidae,2018,MCTE,N,0,L,P,Chloroperlidae
Chloroperlidae,2017,CHUCK,N,0,L,P,Chloroperlidae
Chloroperlidae,2017,CHUCK,Y,7.407407407407407,L,P,Chloroperlidae
Chloroperlidae,2018,W-100,Y,0,L,P,Chloroperlidae
Chloroperlidae,2018,W-113,N,22.222222231111108,L,P,Chloroperlidae
Chloroperlidae,2018,W-113,Y,0,L,P,Chloroperlidae
Chloroperlidae,2017,MCTE,Y,0,L,P,Chloroperlidae
Chloroperlidae,2018,CHUCK,Y,0,L,P,Chloroperlidae
Chloroperlidae,2017,LOON,N,0,L,P,Chloroperlidae
Chloroperlidae,2017,LOON,Y,0,L,P,Chloroperlidae
Chloroperlidae,2017,MCTE,N,0,L,P,Chloroperlidae
Chloroperlidae,2017,W-113,Y,0,L,P,Chloroperlidae
Chloroperlidae,2017,W-100,N,0,L,P,Chloroperlidae
Chloroperlidae,2017,W-100,Y,3.7037037037037037,L,P,Chloroperlidae
Chloroperlidae,2017,W-113,N,0,L,P,Chloroperlidae
Chloroperlidae,2018,CHUCK,N,0,L,P,Chloroperlidae
Cinygmula,2017,W-113,Y,0,S,SCe,Heptageniidae
Cinygmula,2017,W-100,Y,18.51851851851852,S,SCe,Heptageniidae
Cinygmula,2017,W-113,N,7.407407407407407,S,SCe,Heptageniidae
Cinygmula,2017,CHUCK,N,3.7037037037037037,S,SCe,Heptageniidae
Cinygmula,2017,W-100,N,18.51851851851852,S,SCe,Heptageniidae
Cinygmula,2018,MCTE,N,0,S,SCe,Heptageniidae
Cinygmula,2018,MCTE,Y,0,S,SCe,Heptageniidae
Cinygmula,2018,W-100,N,18.51851851851852,S,SCe,Heptageniidae
Cinygmula,2018,W-100,Y,22.222222223111114,S,SCe,Heptageniidae
Cinygmula,2018,W-113,N,0,S,SCe,Heptageniidae
Cinygmula,2018,W-113,Y,0,S,SCe,Heptageniidae
Cinygmula,2018,CHUCK,N,12.345679012345679,S,SCe,Heptageniidae
Cinygmula,2018,CHUCK,Y,0,S,SCe,Heptageniidae
Cinygmula,2017,CHUCK,Y,14.814814814814815,S,SCe,Heptageniidae
Cinygmula,2017,LOON,N,7.407407407407407,S,SCe,Heptageniidae
Cinygmula,2017,LOON,Y,0,S,SCe,Heptageniidae
Cinygmula,2017,MCTE,N,0,S,SCe,Heptageniidae
Cinygmula,2017,MCTE,Y,3.7037037037037037,S,SCe,Heptageniidae
Cinygmula,2018,LOON,Y,0,S,SCe,Heptageniidae
Cinygmula,2018,LOON,N,0,S,SCe,Heptageniidae
Clam,2018,LOON,Y,0,L,CF,Clam
Clam,2018,MCTE,N,0,L,CF,Clam
Clam,2018,LOON,N,0,L,CF,Clam
Clam,2018,W-100,Y,0,L,CF,Clam
Clam,2018,W-113,N,22.222222231111108,L,CF,Clam
Clam,2018,MCTE,Y,0,L,CF,Clam
Clam,2018,W-100,N,0,L,CF,Clam
Clam,2017,LOON,Y,0,L,CF,Clam
Clam,2017,MCTE,N,0,L,CF,Clam
Clam,2018,W-113,Y,0,L,CF,Clam
Clam,2017,LOON,N,0,L,CF,Clam
Clam,2017,W-113,Y,0,L,CF,Clam
Clam,2018,CHUCK,N,0,L,CF,Clam
Clam,2018,CHUCK,Y,0,L,CF,Clam
Clam,2017,CHUCK,Y,0,L,CF,Clam
Clam,2017,W-100,N,0,L,CF,Clam
Clam,2017,W-100,Y,0,L,CF,Clam
Clam,2017,CHUCK,N,0,L,CF,Clam
Clam,2017,MCTE,Y,0,L,CF,Clam
Clam,2017,W-113,N,0,L,CF,Clam
Coleoptera,2017,W-113,Y,0,L,CG,Coleoptera
Coleoptera,2018,CHUCK,N,0,L,CG,Coleoptera
Coleoptera,2017,W-113,N,0,L,CG,Coleoptera
Coleoptera,2017,CHUCK,N,0,L,CG,Coleoptera
Coleoptera,2017,CHUCK,Y,0,L,CG,Coleoptera
Coleoptera,2017,LOON,N,0,L,CG,Coleoptera
Coleoptera,2017,W-100,Y,0,L,CG,Coleoptera
Coleoptera,2018,W-113,Y,0,L,CG,Coleoptera
Coleoptera,2018,LOON,N,0,L,CG,Coleoptera
Coleoptera,2018,LOON,Y,0,L,CG,Coleoptera
Coleoptera,2018,MCTE,N,0,L,CG,Coleoptera
Coleoptera,2018,CHUCK,Y,0,L,CG,Coleoptera
Coleoptera,2017,MCTE,N,0,L,CG,Coleoptera
Coleoptera,2017,MCTE,Y,0,L,CG,Coleoptera
Coleoptera,2017,W-100,N,0,L,CG,Coleoptera
Coleoptera,2017,LOON,Y,3.7037037037037037,L,CG,Coleoptera
Coleoptera,2018,MCTE,Y,0,L,CG,Coleoptera
Coleoptera,2018,W-100,N,0,L,CG,Coleoptera
Coleoptera,2018,W-113,N,0,L,CG,Coleoptera
Coleoptera,2018,W-100,Y,0,L,CG,Coleoptera
Collembola,2018,MCTE,Y,0,S,CG,Collembola
Collembola,2018,MCTE,N,15.873015874789637,S,CG,Collembola
Collembola,2018,W-100,N,0,S,CG,Collembola
Collembola,2018,W-100,Y,0,S,CG,Collembola
Collembola,2018,W-113,N,0,S,CG,Collembola
Collembola,2017,CHUCK,N,0,S,CG,Collembola
Collembola,2017,CHUCK,Y,0,S,CG,Collembola
Collembola,2017,LOON,N,0,S,CG,Collembola
Collembola,2017,W-100,Y,0,S,CG,Collembola
Collembola,2018,W-113,Y,0,S,CG,Collembola
Collembola,2017,MCTE,Y,0,S,CG,Collembola
Collembola,2017,W-100,N,0,S,CG,Collembola
Collembola,2018,LOON,N,0,S,CG,Collembola
Collembola,2018,LOON,Y,0,S,CG,Collembola
Collembola,2017,MCTE,N,3.7037037037037037,S,CG,Collembola
Collembola,2017,W-113,Y,0,S,CG,Collembola
Collembola,2018,CHUCK,N,0,S,CG,Collembola
Collembola,2017,LOON,Y,0,S,CG,Collembola
Collembola,2017,W-113,N,0,S,CG,Collembola
Collembola,2018,CHUCK,Y,0,S,CG,Collembola
Copepod,2017,W-113,Y,0,S,CG,Copepod
Copepod,2018,CHUCK,N,0,S,CG,Copepod
Copepod,2017,W-113,N,0,S,CG,Copepod
Copepod,2017,CHUCK,N,0,S,CG,Copepod
Copepod,2017,CHUCK,Y,0,S,CG,Copepod
Copepod,2017,LOON,N,0,S,CG,Copepod
Copepod,2017,W-100,Y,0,S,CG,Copepod
Copepod,2018,W-113,Y,0,S,CG,Copepod
Copepod,2018,LOON,N,12.345679012345679,S,CG,Copepod
Copepod,2018,LOON,Y,0,S,CG,Copepod
Copepod,2018,MCTE,N,63.49206350425474,S,CG,Copepod
Copepod,2018,CHUCK,Y,0,S,CG,Copepod
Copepod,2017,MCTE,N,0,S,CG,Copepod
Copepod,2017,MCTE,Y,0,S,CG,Copepod
Copepod,2017,W-100,N,0,S,CG,Copepod
Copepod,2017,LOON,Y,0,S,CG,Copepod
Copepod,2018,MCTE,Y,37.03703703703704,S,CG,Copepod
Copepod,2018,W-100,N,0,S,CG,Copepod
Copepod,2018,W-113,N,44.444444462222215,S,CG,Copepod
Copepod,2018,W-100,Y,22.222222223111114,S,CG,Copepod
Corydalidae,2018,MCTE,Y,0,L,P,Corydalidae
Corydalidae,2018,MCTE,N,0,L,P,Corydalidae
Corydalidae,2018,W-100,N,0,L,P,Corydalidae
Corydalidae,2018,W-100,Y,0,L,P,Corydalidae
Corydalidae,2018,W-113,N,0,L,P,Corydalidae
Corydalidae,2017,CHUCK,N,0,L,P,Corydalidae
Corydalidae,2017,CHUCK,Y,0,L,P,Corydalidae
Corydalidae,2017,LOON,N,0,L,P,Corydalidae
Corydalidae,2017,W-100,Y,0,L,P,Corydalidae
Corydalidae,2018,W-113,Y,0,L,P,Corydalidae
Corydalidae,2017,MCTE,Y,0,L,P,Corydalidae
Corydalidae,2017,W-100,N,0,L,P,Corydalidae
Corydalidae,2018,LOON,N,24.691358024691358,L,P,Corydalidae
Corydalidae,2018,LOON,Y,24.691358024691358,L,P,Corydalidae
Corydalidae,2017,MCTE,N,0,L,P,Corydalidae
Corydalidae,2017,W-113,Y,0,L,P,Corydalidae
Corydalidae,2018,CHUCK,N,0,L,P,Corydalidae
Corydalidae,2017,LOON,Y,3.7037037037037037,L,P,Corydalidae
Corydalidae,2017,W-113,N,0,L,P,Corydalidae
Corydalidae,2018,CHUCK,Y,0,L,P,Corydalidae
Crayfish,2017,W-113,Y,0,L,CG,Crayfish
Crayfish,2018,CHUCK,N,0,L,CG,Crayfish
Crayfish,2017,W-113,N,0,L,CG,Crayfish
Crayfish,2017,CHUCK,N,0,L,CG,Crayfish
Crayfish,2017,CHUCK,Y,0,L,CG,Crayfish
Crayfish,2017,LOON,N,0,L,CG,Crayfish
Crayfish,2017,W-100,Y,0,L,CG,Crayfish
Crayfish,2018,W-100,Y,0,L,CG,Crayfish
Crayfish,2018,W-113,N,0,L,CG,Crayfish
Crayfish,2018,W-113,Y,0,L,CG,Crayfish
Crayfish,2018,LOON,Y,0,L,CG,Crayfish
Crayfish,2017,LOON,Y,0,L,CG,Crayfish
Crayfish,2018,CHUCK,Y,0,L,CG,Crayfish
Crayfish,2018,LOON,N,0,L,CG,Crayfish
Crayfish,2017,W-100,N,7.407407407407407,L,CG,Crayfish
Crayfish,2018,W-100,N,0,L,CG,Crayfish
Crayfish,2017,MCTE,N,0,L,CG,Crayfish
Crayfish,2017,MCTE,Y,0,L,CG,Crayfish
Crayfish,2018,MCTE,N,0,L,CG,Crayfish
Crayfish,2018,MCTE,Y,0,L,CG,Crayfish
Despaxia,2018,MCTE,N,79.36507938524049,S,SH,Leuctridae
Despaxia,2018,MCTE,Y,0,S,SH,Leuctridae
Despaxia,2018,W-100,Y,0,S,SH,Leuctridae
Despaxia,2018,W-113,N,44.444444462222215,S,SH,Leuctridae
Despaxia,2017,CHUCK,Y,7.407407407407407,S,SH,Leuctridae
Despaxia,2018,W-113,Y,311.1111111235556,S,SH,Leuctridae
Despaxia,2018,W-100,N,18.51851851851852,S,SH,Leuctridae
Despaxia,2017,CHUCK,N,22.222222222222218,S,SH,Leuctridae
Despaxia,2017,MCTE,Y,3.7037037037037037,S,SH,Leuctridae
